tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,nconst,category,lead_actors_ids,language,country,plot,budget,boxOffice
tt0006405,movie,Kitchener's Great Army in the Battle of the Somme,1916,74,"Documentary,War",6.6,507,,,,,,,,
tt0006617,movie,Kiss of Death,1916,65,"Comedy,Crime,Drama",6.1,293,nm0803705,actor,"['nm0803705', 'nm0803705', 'nm0492280', 'nm0851418', 'nm0745192']",SilentSwedish intertitles,Sweden,,,
tt0006895,movie,King Lear,1916,63,Drama,5.4,111,nm0911963,actor,"['nm0911963', 'nm0401382', 'nm0034424', 'nm0319599', 'nm0227919']",English (silent),United States,The synopsis provided by the studio in The Moving Picture World was:[4],,
tt0011362,movie,Karin Ingmarsdotter,1920,115,Drama,6.4,223,nm0014363,actor,"['nm0014363', 'nm0071091', 'nm0074129', 'nm0098110', 'nm0112867']",,,,,
tt0011371,movie,Kohlhiesel's Daughters,1920,64,"Comedy,Romance",6.5,532,nm0691995,actress,"['nm0691995', 'nm0691995', 'nm0417837', 'nm0862816', 'nm0903194']",German,Germany,"Liesel has studied hotel management at Munich and returns to her hometown of Hinterflüh, where her father and twin sister Susi run the family's inn. Former boyfriend Toni is seeking to rekindle the relationship, but the time apart has estranged them. Günter, an acquaintance from Munich, follows Liesel, takes on a job at the inn and also courts her. Liesel feels drawn to Günter, who is educated and well-mannered, whereas Susi favors Toni, a wealthy and successful hands-on farmer. Toni however is not interested in Susi because of her ghastly appearance and rude behavior.",,
tt0011513,movie,Nomads of the North,1920,109,Drama,5.8,315,nm0151606,actor,"['nm0151606', 'nm0832011', 'nm0532047', 'nm0014894', 'nm0090029']",Silent (English intertitles),United States,"In a small rural village, impoverished Nanette Roland refuses to marry the villainous Buck McDougall until she is convinced that her long-absent fiancé, Raoul Challoner, is dead. Buck obtains false evidence of Challoner's death and Nanette sadly consents to be married, mainly for her bankrupt old father's sake. (Raoul had gone away months earlier on a hunting expedition and never returned.)",,
tt0013427,movie,Nanook of the North,1922,78,Documentary,7.6,14434,nm1354245,actor,"['nm1354245', 'nm0638725', 'nm0192066', 'nm0020180', 'nm4752207']",Silent film with English intertitles,United StatesFrance,"The documentary follows the lives of an Inuk, Nanook, and his family as they travel, search for food, and trade in the Ungava Peninsula of northern Quebec, Canada. Nanook, his wife Nyla and their family are introduced as fearless heroes who endure rigors no other race could survive.  The audience sees Nanook, often with his family, hunt a walrus, build an igloo, go about his day, and perform other tasks.","$53,000",
tt0013428,movie,Nathan der Weise,1922,128,"Drama,History",6.9,165,nm0340088,actor,"['nm0340088', 'nm0212234', 'nm0212234', 'nm0251432', 'nm0470328']",,,,,
tt0013442,movie,Nosferatu,1922,94,"Fantasy,Horror",7.8,123383,nm0775180,actor,"['nm0775180', 'nm0334603', 'nm0903194', 'nm0775659', 'nm0774114']","Silent film
German intertitles",Weimar Republic,"In 1838, in the fictional German town of Wisburg,[1][9] Thomas Hutter is sent to Transylvania by his employer, the eccentric estate agent Herr Knock, to visit a new client, Count Orlok, who is planning to buy a derelict house across from Hutter's own residence. As Hutter studies the route on a map, Knock secretly studies a mysterious correspondence in cabalistic symbols. While embarking on his journey, Hutter stops at an inn in which the locals are terrified by the mere mention of Orlok's name. In his room, he finds a book about vampires, which he initially scoffs at but puts in his baggage.",,
tt0014186,movie,Krasnye dyavolyata,1923,84,"Action,Adventure,Drama",6.1,153,nm1879516,actor,"['nm1879516', 'nm0260607', 'nm0430771', 'nm0070099', 'nm0840195']",,,,,
